Year,Rank,Player
2007,1,Kevin Garnett
2007,2,Kobe Bryant
2007,3,Allen Iverson
2007,4,LeBron James
2007,5,Steve Nash
2007,6,Dwayne Wade
2007,7,Gilbert Arenas
2007,8,Dirk Nowitzki
2007,9,Stephon Marbury
2007,10,Carmelo Anthony
2006,1,Kobe Bryant
2006,2,Dwayne Wade
2006,3,LeBron James
2006,4,Allen Iverson
2006,5,Steve Nash
2006,6,Carmelo Anthony
2006,7,Stephon Marbury
2006,8,Dirk Nowitzki
2006,9,Gilbert Arenas
2006,10,Vince Carter
2005,1,Dwayne Wade
2005,2,LeBron James
2005,3,Allen Iverson
2005,4,Kobe Bryant
2005,5,Stephon Marbury
2005,6,Shaquille O'Neal
2005,7,Tracy McGrady
2005,8,Carmelo Anthony
2005,9,Vince Carter
2005,10,Ben Wallace
2004,1,Shaquille O'Neal
2004,2,Tracy McGrady
2004,3,LeBron James
2004,4,Stephon Marbury
2004,5,Kobe Bryant
2004,6,Allen Iverson
2004,7,Carmelo Anthony
2004,8,Vince Carter
2004,9,Dwayne Wade
2004,10,Steve Francis
2003,1,LeBron James
2003,2,Carmelo Anthony
2003,3,Stephon Marbury
2003,4,
2003,5,
2003,6,
2003,7,Kobe Bryant
2003,8,Shaquille O'Neal
2003,9,
2003,10,
2002,1,Kobe Bryant
2002,2,Allen Iverson
2002,3,Tracy McGrady
2002,4,Michael Jordan
2002,5,Paul Pierce
2002,6,Jason Kidd
2002,7,Shaquille O'Neal
2002,8,Latrell Sprewell
2002,9,Dirk Nowitzki
2002,10,Michael Finley
